"Occurrence.taxa","Prevalence","Taxonomic.level","Missing.values"
"Occurrence.Simuliidae",0.921582997434958,"family",0
"Occurrence.Oligochaeta",0.86771711249542,"class",0
"Occurrence.Limoniidae",0.85965555148406,"family",0
"Occurrence.Limnephilidae",0.823378526932942,"family",0
"Occurrence.Rhyacophilidae",0.806888970318798,"family",0
"Occurrence.Elmidae",0.767314034444852,"family",0
"Occurrence.Gammaridae",0.738365701722243,"family",0
"Occurrence.Heptageniidae",0.721509710516673,"family",0
"Occurrence.Nemouridae",0.705020153902528,"family",0
"Occurrence.Empididae",0.685232685965555,"family",0
"Occurrence.Hydropsychidae",0.687064858922682,"family",0
"Occurrence.Leuctridae",0.677537559545621,"family",0
"Occurrence.Ceratopogonidae",0.593990472700623,"family",0
"Occurrence.Prostigmata",0.536093807255405,"order",0
"Occurrence.Psychodidae",0.513374862587028,"family",0
"Occurrence.Leptophlebiidae",0.451813851227556,"family",0
"Occurrence.Sphaeriidae",0.432392817882008,"family",0
"Occurrence.Taeniopterygidae",0.438988640527666,"family",0
"Occurrence.Perlodidae",0.438988640527666,"family",0
"Occurrence.Athericidae",0.363869549285453,"family",0
"Occurrence.Psychomyiidae",0.337852693294247,"family",0
"Occurrence.Nematoda",0.330524001465738,"phylum",0
"Occurrence.Hydraenidae",0.315866617808721,"family",0
"Occurrence.Planariidae",0.321729571271528,"family",0
"Occurrence.Sericostomatidae",0.275925247343349,"family",0
"Occurrence.Tipulidae",0.274459508977647,"family",0
"Occurrence.Polycentropodidae",0.257603517772078,"family",0
"Occurrence.Odontoceridae",0.24697691462074,"family",0
"Occurrence.Dugesiidae",0.221692927812385,"family",0
"Occurrence.Lymnaeidae",0.218028581898131,"family",0
"Occurrence.Erpobdellidae",0.211432759252473,"family",0
"Occurrence.Scirtidae",0.196042506412605,"family",0
"Occurrence.Ephemerellidae",0.198241113961158,"family",0
"Occurrence.Asellidae",0.190179552949798,"family",0
"Occurrence.Ephemeridae",0.178453646024185,"family",0
"Occurrence.Chloroperlidae",0.183950164895566,"family",0
"Occurrence.Dytiscidae",0.164162696958593,"family",0
"Occurrence.Stratiomyidae",0.171124954195676,"family",0
"Occurrence.Hydroptilidae",0.156834005130084,"family",0
"Occurrence.Hydrobiidae",0.137412971784536,"family",0
"Occurrence.Perlidae",0.141810186881642,"family",0
"Occurrence.Planorbidae",0.13228288750458,"family",0
"Occurrence.Glossosomatidae",0.115060461707585,"family",0
"Occurrence.Blephariceridae",0.119091242213265,"family",0
"Occurrence.Glossiphoniidae",0.112861854159033,"family",0
"Occurrence.Capniidae",0.104800293147673,"family",0
"Occurrence.Goeridae",0.0912422132649322,"family",0
"Occurrence.Philopotamidae",0.0941736899963357,"family",0
"Occurrence.Dixidae",0.0905093440820813,"family",0
"Occurrence.Gyrinidae",0.084279956027849,"family",0
"Occurrence.Caenidae",0.076584829607915,"family",0
"Occurrence.Leptoceridae",0.079149871747893,"family",0
"Occurrence.Calopterygidae",0.0769512641993404,"family",0
"Occurrence.Tabanidae",0.0747526566507878,"family",0
"Occurrence.Pediciidae",0.0703554415536827,"family",0
"Occurrence.Cordulegastridae",0.0655917918651521,"family",0
"Occurrence.Anthomyiidae",0.0655917918651521,"family",0
"Occurrence.Lepidostomatidae",0.0600952729937706,"family",0
"Occurrence.Physidae",0.0571637962623672,"family",0
"Occurrence.Sialidae",0.0520337119824111,"family",0
