"Taxa","Prevalence","iGLM","hGLM","chGLM","GAM","SVM","BCT","RF","ANN"
"Simuliidae",0.92,0.99,0.99,0.99,0.98,0.98,0.97,0.83,0.99
"Oligochaeta",0.87,0.99,0.99,0.99,0.98,0.96,0.96,0.77,0.99
"Limoniidae",0.86,0.99,0.99,0.99,0.98,0.98,0.97,0.75,0.99
"Limnephilidae",0.82,0.99,0.99,0.99,0.97,0.97,0.96,0.74,0.99
"Rhyacophilidae",0.81,0.99,0.99,0.99,0.97,0.95,0.96,0.72,0.99
"Elmidae",0.77,0.99,0.99,1,0.98,0.96,0.96,0.78,0.99
"Gammaridae",0.74,0.99,1,1,0.98,0.96,0.96,0.81,0.99
"Heptageniidae",0.72,0.98,0.99,0.99,0.96,0.95,0.93,0.72,0.99
"Nemouridae",0.71,0.99,0.99,0.99,0.97,0.96,0.93,0.74,0.98
"Empididae",0.69,0.99,0.99,0.99,0.98,0.96,0.94,0.66,0.99
"Hydropsychidae",0.69,0.99,0.99,0.99,0.97,0.96,0.95,0.73,0.99
"Leuctridae",0.68,0.99,0.99,0.99,0.97,0.97,0.95,0.73,0.99
"Ceratopogonidae",0.59,0.99,0.99,0.99,0.97,0.96,0.94,0.68,0.99
"Prostigmata",0.54,0.99,0.99,0.99,0.97,0.97,0.95,0.66,0.99
"Psychodidae",0.51,0.99,0.99,0.99,0.98,0.95,0.95,0.65,0.99
"Leptophlebiidae",0.45,0.99,0.99,0.99,0.97,0.93,0.95,0.67,0.99
"Sphaeriidae",0.43,0.99,0.99,1,0.98,0.96,0.96,0.7,0.99
"Taeniopterygidae",0.44,0.99,0.99,0.99,0.98,0.94,0.94,0.69,0.99
"Perlodidae",0.44,0.99,0.99,0.99,0.97,0.98,0.95,0.69,0.99
"Athericidae",0.36,0.99,0.99,0.99,0.98,0.95,0.93,0.7,0.99
"Psychomyiidae",0.34,0.99,0.99,0.99,0.98,0.94,0.95,0.69,1
"Nematoda",0.33,1,1,1,0.98,0.97,0.97,0.66,1
"Hydraenidae",0.32,0.99,0.99,0.99,0.98,0.96,0.94,0.69,0.99
"Planariidae",0.32,0.99,0.99,0.99,0.97,0.95,0.94,0.68,1
"Sericostomatidae",0.28,0.99,1,0.99,0.97,0.95,0.94,0.71,0.99
"Tipulidae",0.27,0.99,1,1,0.98,0.97,0.98,0.67,1
"Polycentropodidae",0.26,0.99,0.99,0.99,0.97,0.94,0.93,0.7,0.99
"Odontoceridae",0.25,0.99,0.99,1,0.98,0.96,0.96,0.72,0.99
"Dugesiidae",0.22,0.99,0.99,0.99,0.97,0.96,0.96,0.71,1
"Lymnaeidae",0.22,0.99,0.99,0.99,0.97,0.95,0.95,0.72,1
"Erpobdellidae",0.21,0.99,0.99,0.99,0.97,0.94,0.97,0.76,0.99
"Scirtidae",0.2,0.98,0.98,0.99,0.97,0.97,0.96,0.72,0.99
"Ephemerellidae",0.2,0.99,0.99,0.99,0.97,0.95,0.95,0.76,1
"Asellidae",0.19,0.99,0.99,0.99,0.98,0.94,0.97,0.77,0.99
"Ephemeridae",0.18,0.99,0.99,0.99,0.98,0.94,0.96,0.76,1
"Chloroperlidae",0.18,0.98,0.98,0.98,0.97,0.96,0.95,0.78,0.99
"Dytiscidae",0.16,0.99,1,0.99,0.98,0.97,0.97,0.74,1
"Stratiomyidae",0.17,0.99,0.99,0.99,0.98,0.97,0.97,0.74,0.99
"Hydroptilidae",0.16,0.99,0.99,0.99,0.98,0.98,0.98,0.77,1
"Hydrobiidae",0.14,0.99,1,1,0.98,0.96,0.97,0.81,1
"Perlidae",0.14,0.99,0.99,0.99,0.97,0.95,0.96,0.81,1
"Planorbidae",0.13,0.99,1,1,0.98,0.95,0.96,0.8,0.99
"Glossosomatidae",0.12,0.99,0.99,0.99,0.97,0.97,0.94,0.79,0.99
"Blephariceridae",0.12,0.99,0.99,0.99,0.97,0.98,0.97,0.86,1
"Glossiphoniidae",0.11,0.99,0.99,0.99,0.98,0.96,0.96,0.82,1
"Capniidae",0.1,0.99,0.99,0.99,0.98,0.96,0.96,0.85,1
"Goeridae",0.09,0.99,0.99,1,0.98,0.98,0.98,0.81,1
"Philopotamidae",0.09,0.99,0.99,0.99,0.97,0.98,0.97,0.85,1
"Dixidae",0.09,0.99,0.99,0.99,0.97,0.97,0.96,0.85,0.99
"Gyrinidae",0.08,0.99,0.99,0.99,0.97,0.96,0.96,0.86,1
"Caenidae",0.08,0.99,1,1,0.97,0.94,0.96,0.86,0.99
"Leptoceridae",0.08,0.99,0.99,0.99,0.96,0.95,0.97,0.85,0.99
"Calopterygidae",0.08,0.99,0.99,1,0.98,0.97,0.98,0.84,1
"Tabanidae",0.07,0.99,0.99,1,0.98,0.98,0.98,0.81,1
"Pediciidae",0.07,0.99,0.99,0.99,0.98,0.95,0.97,0.85,0.99
"Cordulegastridae",0.07,0.99,1,0.99,0.98,0.98,0.98,0.85,1
"Anthomyiidae",0.07,0.99,0.99,0.99,0.97,0.99,0.98,0.83,1
"Lepidostomatidae",0.06,0.99,0.99,0.99,0.96,0.96,0.96,0.87,1
"Physidae",0.06,0.99,0.99,0.99,0.97,0.96,0.97,0.86,1
"Sialidae",0.05,0.99,0.99,0.99,0.98,0.98,0.99,0.85,1
